Overall-Delivery,Food-Quality,Delivery-Speed,Order-Accuracy
1.0,0.55,0.775,-1.0
0.55,0.775,0.55,-1.0
0.775,1.0,0.325,-1.0
1.0,0.55,0.775,-1.0
0.325,1.0,0.1,-1.0
1.0,0.325,1.0,-1.0
0.1,0.775,0.55,-1.0
0.55,0.55,0.325,-1.0
1.0,0.1,0.55,-1.0
0.55,1.0,0.55,-1.0
1.0,0.55,0.775,-1.0
0.325,0.325,1.0,-1.0
0.775,1.0,0.55,-1.0
0.55,0.775,0.325,-1.0
0.1,1.0,0.1,-1.0
1.0,0.775,1.0,-1.0
0.325,0.325,0.775,-1.0
0.775,1.0,0.775,-1.0
1.0,0.1,1.0,-1.0
0.325,0.775,0.775,-1.0
1.0,1.0,0.1,-1.0
0.55,0.55,0.55,-1.0
0.1,1.0,1.0,-1.0
1.0,0.775,0.775,-1.0
0.55,0.55,0.325,-1.0
0.325,0.55,0.775,-1.0
0.325,0.325,0.55,-1.0
0.775,1.0,0.775,-1.0
0.775,0.1,0.325,-1.0
0.55,0.775,1.0,-1.0
1.0,1.0,0.775,-1.0
0.55,0.55,0.775,-1.0
0.1,0.325,1.0,-1.0
1.0,1.0,0.1,-1.0
1.0,0.1,0.325,-1.0
0.325,0.55,0.55,-1.0
0.1,1.0,0.775,-1.0
1.0,0.775,0.55,-1.0
0.325,0.325,0.775,-1.0
0.55,0.55,0.325,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.775,0.775,0.775,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
1.0,1.0,1.0,-1.0
0.1,0.1,0.1,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.775,0.775,0.775,-1.0
0.55,0.55,0.55,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.775,0.775,0.775,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.325,0.325,0.325,-1.0
0.325,0.325,0.325,-1.0
0.775,0.775,0.775,-1.0
0.775,0.775,0.775,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.775,0.775,0.775,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
1.0,1.0,1.0,-1.0
0.1,0.1,0.1,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.775,0.775,0.775,-1.0
0.55,0.55,0.55,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.775,0.775,0.775,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.325,0.325,0.325,-1.0
0.325,0.325,0.325,-1.0
0.775,0.775,0.775,-1.0
0.775,0.775,0.775,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.775,0.775,0.775,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
1.0,1.0,1.0,-1.0
0.1,0.1,0.1,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.775,0.775,0.775,-1.0
0.55,0.55,0.55,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.775,0.775,0.775,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.325,0.325,0.325,-1.0
0.325,0.325,0.325,-1.0
0.775,0.775,0.775,-1.0
0.775,0.775,0.775,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.1,0.1,0.1,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
0.775,0.775,0.775,-1.0
1.0,1.0,1.0,-1.0
0.325,0.325,0.325,-1.0
1.0,1.0,1.0,-1.0
0.1,0.1,0.1,-1.0
0.55,0.55,0.55,-1.0
1.0,1.0,1.0,-1.0
0.55,0.55,0.55,-1.0
